time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.3233,0.0447,-0.0892,0.2669,0.0415,-0.2054,0.6557,
0.3250,0.0499,-0.0779,0.2675,0.0399,-0.2055,0.6517,
0.3267,0.0539,-0.0667,0.2681,0.0371,-0.2023,0.6470,
0.3283,0.0569,-0.0560,0.2685,0.0331,-0.1960,0.6416,
0.3300,0.0588,-0.0458,0.2690,0.0277,-0.1868,0.6356,
0.3317,0.0596,-0.0363,0.2693,0.0212,-0.1749,0.6288,
0.3333,0.0594,-0.0276,0.2696,0.0135,-0.1605,0.6214,
0.3350,0.0583,-0.0199,0.2698,0.0049,-0.1441,0.6132,
0.3367,0.0563,-0.0133,0.2699,-0.0047,-0.1260,0.6043,
0.3383,0.0536,-0.0078,0.2699,-0.0150,-0.1066,0.5947,
0.3400,0.0502,-0.0035,0.2698,-0.0259,-0.0863,0.5843,
0.3417,0.0463,-0.0005,0.2696,-0.0373,-0.0654,0.5732,
0.3433,0.0420,0.0013,0.2694,-0.0489,-0.0444,0.5614,
0.3450,0.0373,0.0018,0.2690,-0.0606,-0.0235,0.5489,
0.3467,0.0323,0.0011,0.2685,-0.0722,-0.0033,0.5360,
0.3483,0.0273,-0.0007,0.2680,-0.0835,0.0161,0.5226,
0.3500,0.0222,-0.0035,0.2673,-0.0943,0.0344,0.5089,
0.3517,0.0171,-0.0071,0.2666,-0.1045,0.0512,0.4951,
0.3533,0.0122,-0.0115,0.2658,-0.1138,0.0665,0.4813,
0.3550,0.0076,-0.0164,0.2649,-0.1222,0.0800,0.4677,
0.3567,0.0034,-0.0216,0.2639,-0.1295,0.0916,0.4545,
0.3583,-0.0004,-0.0271,0.2629,-0.1355,0.1013,0.4418,
0.3600,-0.0036,-0.0325,0.2619,-0.1403,0.1089,0.4298,
0.3617,-0.0062,-0.0379,0.2609,-0.1438,0.1145,0.4188,
0.3633,-0.0081,-0.0429,0.2599,-0.1459,0.1181,0.4087,
0.3650,-0.0092,-0.0476,0.2589,-0.1466,0.1197,0.3998,
0.3667,-0.0095,-0.0518,0.2581,-0.1458,0.1194,0.3921,
0.3683,-0.0089,-0.0554,0.2573,-0.1438,0.1173,0.3857,
0.3700,-0.0074,-0.0583,0.2567,-0.1403,0.1135,0.3806,
0.3717,-0.0051,-0.0605,0.2562,-0.1357,0.1082,0.3767,
