time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.4383,-0.0247,-0.0523,0.3006,-0.0094,0.0648,-0.0019,
0.4400,-0.0289,-0.0494,0.2971,-0.0128,0.0591,0.0185,
0.4417,-0.0333,-0.0462,0.2935,-0.0164,0.0524,0.0388,
0.4433,-0.0377,-0.0428,0.2901,-0.0202,0.0446,0.0584,
0.4450,-0.0422,-0.0393,0.2868,-0.0240,0.0360,0.0769,
0.4467,-0.0467,-0.0359,0.2837,-0.0279,0.0266,0.0937,
0.4483,-0.0511,-0.0325,0.2810,-0.0317,0.0165,0.1084,
0.4500,-0.0554,-0.0293,0.2785,-0.0355,0.0059,0.1205,
0.4517,-0.0595,-0.0265,0.2764,-0.0391,-0.0052,0.1296,
0.4533,-0.0634,-0.0240,0.2747,-0.0425,-0.0165,0.1355,
0.4550,-0.0670,-0.0219,0.2734,-0.0457,-0.0278,0.1380,
0.4567,-0.0704,-0.0203,0.2724,-0.0485,-0.0390,0.1369,
0.4583,-0.0735,-0.0193,0.2718,-0.0510,-0.0499,0.1324,
0.4600,-0.0763,-0.0187,0.2715,-0.0531,-0.0604,0.1243,
0.4617,-0.0788,-0.0187,0.2715,-0.0547,-0.0701,0.1130,
0.4633,-0.0809,-0.0192,0.2717,-0.0559,-0.0791,0.0985,
0.4650,-0.0828,-0.0202,0.2721,-0.0567,-0.0872,0.0813,
0.4667,-0.0842,-0.0216,0.2727,-0.0569,-0.0941,0.0616,
0.4683,-0.0854,-0.0234,0.2733,-0.0567,-0.0999,0.0399,
0.4700,-0.0862,-0.0255,0.2739,-0.0561,-0.1043,0.0166,
0.4717,-0.0867,-0.0278,0.2745,-0.0550,-0.1075,-0.0078,
0.4733,-0.0869,-0.0303,0.2749,-0.0536,-0.1092,-0.0329,
0.4750,-0.0867,-0.0329,0.2752,-0.0517,-0.1095,-0.0583,
0.4767,-0.0863,-0.0354,0.2753,-0.0496,-0.1084,-0.0834,
0.4783,-0.0857,-0.0379,0.2751,-0.0472,-0.1059,-0.1079,
0.4800,-0.0848,-0.0403,0.2746,-0.0447,-0.1019,-0.1312,
